"ratings_disabled","comments_disabled","snippet_title","trending_date","etag","video_id","thumbnail_link","snippet_assignable","kind","comment_count","likes","views","dislikes","description","channel_title","title","snippet_channelid","publish_time","tags","id","video_error_or_removed","category_id"
"false","false","Autos & Vehicles","17.22.12","""XI7nbFXulYBIpL0ayR_gDh3eu1k/UZ1oLIIz2dxIhO45ZTFR3a3NyTA""","EO0pr_x6BoM","https://i.ytimg.com/vi/EO0pr_x6BoM/default.jpg","true","youtube#videoCategory","4","128","33431","67","MORNING JOE LIVE","CNN Live HD","Hardball with Chris Matthews - MSNBC Live","UCBR8-60-B28hp2BmDPdntcQ","2017-12-22T00:18:09.000Z","Hardball with Chris Matthews","2","false","2"
"false","false","Autos & Vehicles","18.16.01","""XI7nbFXulYBIpL0ayR_gDh3eu1k/UZ1oLIIz2dxIhO45ZTFR3a3NyTA""","jdsH9FpvllY","https://i.ytimg.com/vi/jdsH9FpvllY/default.jpg","true","youtube#videoCategory","2131","2772","119558","182","https://8ch.net/greatawakening/res/1.html#7\n\n🐸GAB @1munder\n🐦TWITTER @1munder\n🤖DISCORD jamesmunder\n♨STEEMIT @jamesmunder\n💲https://paypal.me/jamesmunder \n🎖BITCOIN ADDRESS:    1LHt3dfgr6s8RjihkDy89botGDGDk1ZMTG\nhttps://www.patreon/JamesMunder\n\nI OPENED UP THESE ACCOUNTS BECAUSE NOT EVERYONE WANTS TO DO PATREON, SO I GOT A BITCOIN WALLET & PAYPAL WALLET BECAUSE OF THE DEMONITIZATION AYPOCALYPSE. Thank You For Supportting Real People like me\n\nThe Link Below⤵ Will Help ⤵You To Support JAMES MUNDER & THE RESEARCH REVOLUTION:\n\nLink↪ https://www.patreon/JamesMunder ↩ Link\n\nI WILL GET MY LIVESTREAMING BACK SOON😎\nTHIS CHANNEL 'THE RESEARCH REVOLUTION' WILL GET LIVESTREAMING BACK FIRST. MAKE SURE SUBSCRIBE. Thank you God Bless You\n\nDON'T YOU JUST LOVE MY SUPER AWESOME CHANNEL? THIS IS THE ONLY PLACE ON THE ENTIRE INTERNET YOU CAN SEE MY MASTERPIECES OF DIVINATION! 😅 \n\n🕵SPONSOR MY INSPECTIONS OF THE MASTERMIND MAINSTREAM MEDIA & TOGETHER, WE WILL TRAVEL THROUGH THE RABBITHOLE INTO OZ, UNMASK THE VILLAINS IN OUR MAGICAL MYSTERY MACHINE & STRlKE WHEN THEY LEAST EXPECT US— LIKE A PACK OF FURIOUS VELOCIRAPTORS! WE ARE THOSE MEDDLING KIDS THAT WON'T LET YOU GET AWAY WITH IT! !\n\n👷👦👱👧🐕🐿 Support My Channel & Work Here:\nhttps://www.patreon/JamesMunder","James Munder","Q WARNS SHUTTING DOWN GOVERNMENT 2 BLOCK MILITARY","UCBR8-60-B28hp2BmDPdntcQ","2018-01-14T06:35:36.000Z","[none]","2","false","2"
"false","false","Autos & Vehicles","18.24.02","""XI7nbFXulYBIpL0ayR_gDh3eu1k/UZ1oLIIz2dxIhO45ZTFR3a3NyTA""","dOiI0yChkiI","https://i.ytimg.com/vi/dOiI0yChkiI/default.jpg","true","youtube#videoCategory","254","1563","1103919","64","","Richard Fielder","Tesla Truck","UCBR8-60-B28hp2BmDPdntcQ","2018-02-20T18:51:11.000Z","[none]","2","false","2"
"false","false","Autos & Vehicles","17.28.12","""XI7nbFXulYBIpL0ayR_gDh3eu1k/UZ1oLIIz2dxIhO45ZTFR3a3NyTA""","P1y-rWLMjC4","https://i.ytimg.com/vi/P1y-rWLMjC4/default.jpg","true","youtube#videoCategory","226","603","77913","260","Dash cam footage from December 24, 2017 shortly after 3pm. Highway 417 in Ottawa at the St. Laurent exit. Sorry for the crappy music on the radio!","Ottawa Dashcam","How to exit the highway like an asshole (and fail)","UCBR8-60-B28hp2BmDPdntcQ","2017-12-26T20:47:04.000Z","[none]","2","false","2"
"false","false","Autos & Vehicles","18.09.01","""XI7nbFXulYBIpL0ayR_gDh3eu1k/UZ1oLIIz2dxIhO45ZTFR3a3NyTA""","ErZDtWsCA9U","https://i.ytimg.com/vi/ErZDtWsCA9U/default.jpg","true","youtube#videoCategory","19","360","90556","53","","Mecum Auctions","Mecum Collector Car Auction - Kissimmee 2018 Day 2","UCBR8-60-B28hp2BmDPdntcQ","2018-01-07T03:35:04.000Z","[none]","2","false","2"
"false","false","Autos & Vehicles","18.23.02","""XI7nbFXulYBIpL0ayR_gDh3eu1k/UZ1oLIIz2dxIhO45ZTFR3a3NyTA""","dOiI0yChkiI","https://i.ytimg.com/vi/dOiI0yChkiI/default.jpg","true","youtube#videoCategory","188","1245","730444","39","","Richard Fielder","Tesla Truck","UCBR8-60-B28hp2BmDPdntcQ","2018-02-20T18:51:11.000Z","[none]","2","false","2"
"false","false","Autos & Vehicles","18.12.01","""XI7nbFXulYBIpL0ayR_gDh3eu1k/UZ1oLIIz2dxIhO45ZTFR3a3NyTA""","ErZDtWsCA9U","https://i.ytimg.com/vi/ErZDtWsCA9U/default.jpg","true","youtube#videoCategory","20","364","93903","54","","Mecum Auctions","Mecum Collector Car Auction - Kissimmee 2018 Day 2","UCBR8-60-B28hp2BmDPdntcQ","2018-01-07T03:35:04.000Z","[none]","2","false","2"
"false","false","Autos & Vehicles","17.29.12","""XI7nbFXulYBIpL0ayR_gDh3eu1k/UZ1oLIIz2dxIhO45ZTFR3a3NyTA""","P1y-rWLMjC4","https://i.ytimg.com/vi/P1y-rWLMjC4/default.jpg","true","youtube#videoCategory","555","1738","237813","730","Dash cam footage from December 24, 2017 shortly after 3pm. Highway 417 in Ottawa at the St. Laurent exit. Sorry for the crappy music on the radio!","Ottawa Dashcam","How to exit the highway like an asshole (and fail)","UCBR8-60-B28hp2BmDPdntcQ","2017-12-26T20:47:04.000Z","[none]","2","false","2"
"false","false","Autos & Vehicles","17.20.11","""XI7nbFXulYBIpL0ayR_gDh3eu1k/UZ1oLIIz2dxIhO45ZTFR3a3NyTA""","PEv3SQSMtLw","https://i.ytimg.com/vi/PEv3SQSMtLw/default.jpg","true","youtube#videoCategory","282","4171","561583","280","","Wrestling Mate","Shield Vs New Day Full Match - WWE Survivor Series 2017 : WWE SURVIVOR SERIES 19 November 2017","UCBR8-60-B28hp2BmDPdntcQ","2017-11-20T00:48:08.000Z","[none]","2","false","2"
"false","false","Autos & Vehicles","17.27.12","""XI7nbFXulYBIpL0ayR_gDh3eu1k/UZ1oLIIz2dxIhO45ZTFR3a3NyTA""","wIlKig_TuDw","https://i.ytimg.com/vi/wIlKig_TuDw/default.jpg","true","youtube#videoCategory","549","1470","67317","115","https://www.587board.com/ampb/fucked/530230-merry-christmas-wikileaks-data-dump-65gb\n\n\n🐸GAB @1munder\n🐦TWITTER @1munder\n🤖DISCORD jamesmunder\n♨STEEMIT @jamesmunder\n💲paypal.me/jamesmunder \n🎖BITCOIN ADDRESS:    1LHt3dfgr6s8RjihkDy89botGDGDk1ZMTG\n\nI OPENED UP THESE ACCOUNTS BECAUSE NOT EVERYONE WANTS TO DO PATREON, SO I GOT A BITCOIN WALLET & PAYPAL WALLET BECAUSE OF THE DEMONITIZATION AYPOCALYPSE. Thank You For Supportting Real People like me\n\nThe Link Below⤵ Will Help ⤵You To Support JAMES MUNDER & THE RESEARCH REVOLUTION:\n\nLink↪ https://www.patreon/JamesMunder ↩ Link\n\nI WILL GET MY LIVESTREAMING BACK SOON😎\nTHIS CHANNEL 'THE RESEARCH REVOLUTION' WILL GET LIVESTREAMING BACK FIRST. MAKE SURE SUBSCRIBE. Thank you God Bless You\n\nDON'T YOU JUST LOVE MY SUPER AWESOME CHANNEL? THIS IS THE ONLY PLACE ON THE ENTIRE INTERNET YOU CAN SEE MY MASTERPIECES OF DIVINATION! 😅 SPONSOR MY INSPECTIONS OF THE MASTERMIND MAINSTREAM MEDIA & TOGETHER, WE WILL TRAVEL THROUGH THE RABBITHOLE INTO OZ, UNMASK THE VILLAINS IN OUR MAGICAL MYSTERY MACHINE & STRlKE WHEN THEY LEAST EXPECT US— LIKE A PACK OF FURIOUS VELOCIRAPTORS! WE ARE THOSE MEDDLING KIDS THAT WON'T LET YOU GET AWAY WITH IT! !\n\n👷👦👱👧🐕🐿 Support My Channel & Work Here:\nhttps://www.patreon/JamesMunder","James Munder","JULIAN ASSANGE DROPS ENORMOUS 65 GB FILE... OR NOT!!!","UCBR8-60-B28hp2BmDPdntcQ","2017-12-26T10:43:10.000Z","[none]","2","false","2"
